date,carbon_close,carbon_open,carbon_high,carbon_low,carbon_volume,gas_close,coal_close,stoxx600_close,oil_close,baseload_close,weekly_positive_intensity,weekly_negative_intensity
2017-12-06,-1.924369839262708,-1.924369839262708,-1.924369839262708,-1.924369839262708,27.542630189083077,-1.3292027109723374,0.5874516226485736,-0.2585985408007917,-2.6436097852155123,-1.1379152857475143,0.363,1.1509999999999998
2017-12-07,0.9026495845972125,0.9026495845972125,0.9026495845972125,0.9026495845972125,-31.97023082702004,1.1116840106339394,-0.2132196969840711,0.051773234394885,1.5881066227867322,0.0,0.615,1.138
2017-12-08,-2.732766022837656,-2.732766022837656,-2.732766022837656,-2.732766022837656,22.74994507561992,-2.71663565406909,0.7442883907078442,0.8247469430017265,1.9108861698046504,0.0,0.443,1.3309999999999997
2017-12-11,0.7884403524148835,0.7884403524148835,0.7884403524148835,0.7884403524148835,36.31574286914708,2.900720719860005,0.3172927040577492,-0.2312733910202666,2.014276861271374,0.0,0.252,1.15
2017-12-12,-0.3934431304834561,0.6523180339123476,0.6523180339123476,0.6523180339123476,-610.1663339406057,10.31678443243107,0.6315810468123753,0.7943667652262911,-2.108958894540021,0.0,0.679,1.2769999999999997
2017-12-13,-0.7915608612661199,-1.8373220256619296,-1.8373220256619296,-1.8373220256619296,673.3877968970845,-9.45112229281059,-0.315291905961553,-0.229973271153132,-1.4310945463262503,0.0,1.07,1.1629999999999998
2017-12-14,0.1323626930508346,0.1323626930508346,0.1323626930508346,0.1323626930508346,-416.8928611509308,3.3254898085360822,0.1052077950803834,-0.4101518182498996,1.3837198908803907,0.0,0.948,1.2029999999999998
2017-12-15,1.1834457647003016,1.1834457647003016,1.1834457647003016,1.1834457647003016,394.59040440729234,-1.6163274137025574,0.0525624190814094,-0.4556989464893362,-0.1264422485513417,0.0,1.095,1.7859999999999998
2017-12-18,2.7080958602670613,2.7080958602670613,2.7080958602670613,2.7080958602670613,-94.70995714819624,-2.391077719204155,-0.0525624190813961,0.7890753291061904,0.2842705641418468,0.0,1.435,1.4579999999999997
2017-12-19,1.3897886361008316,1.3897886361008316,1.3897886361008316,1.3897886361008316,-16.921760576391836,-1.6151091327882845,-0.2632273170321393,-0.4618945856294528,0.6131612638803856,0.0,1.353,1.146
2017-12-22,1.9918643306519264,1.9918643306519264,1.9918643306519264,1.9918643306519264,-49.13922390846034,-3.338544079422628,0.0,-0.0515065682259911,0.5378422492758386,0.0,1.298,0.30399999999999977
